pairs,Df,SumsOfSqs,F.Model,R2,p.value,p.adjusted,sig
Pakistan vs Zambia,1,0.09531880663217229,1.3999074442148922,0.017197899704914033,0.167,1,
Pakistan vs Bangladesh,1,0.5945035167727913,6.656099227565668,0.13139778484845516,0.002,0.02,.
Pakistan vs CAR,1,4.01128102768077,58.53276015951783,0.5880753238000167,0.001,0.01,*
Pakistan vs Madagascar,1,3.952272953908443,47.87145535313931,0.5326658521889298,0.001,0.01,*
Zambia vs Bangladesh,1,0.9188195678325332,11.240405410351304,0.14185194222748068,0.001,0.01,*
Zambia vs CAR,1,4.933757821525791,72.2562086292209,0.5264330797917588,0.001,0.01,*
Zambia vs Madagascar,1,4.978700728078006,64.47997420435973,0.4941752525438901,0.001,0.01,*
Bangladesh vs CAR,1,1.565796852219127,15.54488199655043,0.34897122407360376,0.001,0.01,*
Bangladesh vs Madagascar,1,1.534523058687324,12.863191039280721,0.3000987730356478,0.001,0.01,*
CAR vs Madagascar,1,0.2534066553253274,2.782797862675792,0.09343641505767435,0.002,0.02,.
