"","term","taxon","rank","formula","estimate","std.error","statistic","p.value","p.adj.BY.rank","avg_abundance_SAM","avg_abundance_Stunting","prevalence_SAM","prevalence_Stunting"
"1","mal.typeStunting","Campylobacterota","Phylum","`Campylobacterota`~mal.type",0.399075187788456,0.859587884622359,0.464263392874343,0.643803885219842,1,0.00222641547263768,0.00231122009211436,0.375,0.490566037735849
"2","mal.typeStunting","Bdellovibrionota","Phylum","`Bdellovibrionota`~mal.type",-0.143081130530227,0.0955043332776379,-1.49816375466734,0.138287979072555,0.952844252052042,8.6571092180899e-06,0,0.0416666666666667,0
"3","mal.typeStunting","Patescibacteria","Phylum","`Patescibacteria`~mal.type",0.661927638508907,0.294445432979516,2.24804858343636,0.0275115421389874,0.312853730957044,0,5.28672040110349e-05,0,0.207547169811321
"4","mal.typeStunting","Bacteroidota","Phylum","`Bacteroidota`~mal.type",-0.155163809174554,0.894729490515976,-0.173419799860485,0.862788663846042,1,0.0616761754246075,0.0146745851397554,0.833333333333333,0.981132075471698
"5","mal.typeStunting","Actinobacteriota","Phylum","`Actinobacteriota`~mal.type",2.96311753989387,0.608925741505689,4.86613939585963,6.13555102136621e-06,0.000253654347822097,0.033770147817896,0.0438056392378905,0.833333333333333,1
"6","mal.typeStunting","Chloroflexi","Phylum","`Chloroflexi`~mal.type",0.0248504691057751,0.119600894172787,0.207778288596017,0.835965257959643,1,1.89946511062485e-06,6.08339448988249e-06,0.0416666666666667,0.0188679245283019
"7","mal.typeStunting","Proteobacteria","Phylum","`Proteobacteria`~mal.type",0.722224342547087,0.814692605800555,0.88649919909043,0.378182373783741,1,0.160574774339891,0.0797706887725301,0.958333333333333,1
"8","mal.typeStunting","Acidobacteriota","Phylum","`Acidobacteriota`~mal.type",0.102894311261042,0.112073414561841,0.918097406626854,0.361510999740923,1,0,5.54334507697553e-06,0,0.0377358490566038
"9","mal.typeStunting","Myxococcota","Phylum","`Myxococcota`~mal.type",0.105941943265059,0.111530141070587,0.949895178541997,0.34521649714975,1,0,5.22733379320074e-06,0,0.0377358490566038
"10","mal.typeStunting","Firmicutes","Phylum","`Firmicutes`~mal.type",0.370623521159752,0.167822526987143,2.20842533963361,0.0302700118486911,0.312853730957044,0.731114927540073,0.845841587826562,1,1
"11","mal.typeStunting","Fusobacteriota","Phylum","`Fusobacteriota`~mal.type",3.933868771691,0.871801179945502,4.51234623465055,2.33244517632781e-05,0.000482136696420534,0.0104982355366656,0.0135027094800253,0.458333333333333,0.943396226415094
"12","mal.typeStunting","Spirochaetota","Phylum","`Spirochaetota`~mal.type",-0.0554529745664255,0.29147369264972,-0.190250358659525,0.849626960567961,1,0.00012276881031685,2.38481737508836e-05,0.0416666666666667,0.0566037735849057
"13","mal.typeStunting","Deinococcota","Phylum","`Deinococcota`~mal.type",-0.121027483566421,0.0807838817281328,-1.49816375466733,0.138287979072556,0.952844252052042,5.99848358335013e-06,0,0.0416666666666667,0
