"","Term","Estimate","Standardized","Std. Error","t value","Pr(>|t|)","95% CI","Number_of_observations","shapiro_test","shapiro_test_p"
"1","AgeMonths_endo",0.183739413030787,0.274862293799704,0.0742161478662903,2.47573362823703,0.0155524974345623,"(3.827576e-02, 3.292031e-01)","77",0.974892643414056,0.131030307560781
"2","CD",0.0139585839178529,0.177492805580618,0.0105320451334911,1.32534410372641,0.190637346522151,"(-6.684225e-03, 3.460139e-02)","56",0.952893199158493,0.0286972387315984
"3","ESA",0.00126765212704078,0.0664947142652344,0.00258853373794952,0.489718217095725,0.626316945988407,"(-3.805874e-03, 6.341178e-03)","56",0.956598131115311,0.0423145975383378
"4","GastricPh_endo",-0.32179720292135,-0.189698190044995,0.216837742291848,-1.48404608681193,0.143119732274924,"(-7.467992e-01, 1.032048e-01)","61",0.977461361451535,0.320363960613449
"5","GLP.2_endo",-0.47485748260096,-0.242703102671837,0.263210412482975,-1.804098394594,0.077009299559476,"(-9.907499e-01, 4.103493e-02)","54",0.980189417943982,0.508495957301041
"6","hiv_charPositive",-0.265339678054634,-0.039938444047394,0.84307957556529,-0.314726730127132,0.754025888232385,"(-1.917776e+00, 1.387096e+00)","64",0.972359527048892,0.16037261523391
"7","I.FABP_endo",-0.000236948168218883,-0.226046029630922,0.000126651619615415,-1.87086567813653,0.06586628963266,"(-4.851853e-04, 1.128901e-05)","67",0.983028357643303,0.492920680913401
"8","LAZ_endo",-0.322120229712694,-0.131092531693395,0.281284143006473,-1.14517735080886,0.255776912054088,"(-8.734372e-01, 2.291967e-01)","77",0.974064355755444,0.116532913924364
"9","LBP_new",-0.0180768178398832,-0.518384277253528,0.00398489905685174,-4.53633017599316,3.06969716815509e-05,"(-2.588722e-02, -1.026642e-02)","58",0.919067743025488,0.000878221432670517
"10","LPS_endo",-0.00128320048825109,-0.144424468805177,0.00109897166616239,-1.16763746305856,0.247284743296183,"(-3.437185e-03, 8.707840e-04)","66",0.985374085950832,0.62967672000782
"11","sCD14_endo",-0.00103926589556639,-0.325179968046929,0.000377784659613539,-2.75094784586947,0.00771888877707588,"(-1.779724e-03, -2.988080e-04)","66",0.985076721848348,0.613087255765643
"12","SexMale",0.112765070506213,0.0179594811651934,0.724903384409163,0.155558758493206,0.876798756032299,"(-1.308046e+00, 1.533576e+00)","77",0.97829997895703,0.211087412432514
"13","VH",-0.00682352484459049,-0.125214178354758,0.00735744213070344,-0.927431670324004,0.357829316812624,"(-2.124411e-02, 7.597062e-03)","56",0.9599471794529,0.0603267215427825
"14","WAZ_endo",0.657953714205865,0.281726956354607,0.258749101789242,2.54282511381155,0.0130570708180551,"(1.508055e-01, 1.165102e+00)","77",0.978063787327666,0.204310489096922
"15","WHZ_endo",0.740562288512723,0.379461017899387,0.208498552558028,3.55188215662367,0.00066518822778614,"(3.319051e-01, 1.149219e+00)","77",0.982388192264988,0.36457426304815
