"","Term","Df","SumOfSqs","R2","F","Pr(>F)"
"1","Model",1,0.00941472413920852,0.0075909555728617,0.244768605944934,0.987
"2","Model",1,0.0198163486440292,0.0205181170177605,0.523698226946493,0.643
"3","Model",1,0.0198220841782172,0.0159822590798737,0.519738892184741,0.631
"4","Model",1,0.0202672856685792,0.0163412185867418,0.531606086029591,0.769
"5","Model",1,0.0227718366529041,0.0167170368370422,0.442032430181611,0.71
"6","Model",1,0.0277686210741033,0.0171507787556449,0.471151644009173,0.758
"7","Model",1,0.0294861016523275,0.0237742162542554,0.779302219633153,0.561
"8","Model",1,0.0315346962206065,0.0254259683528484,0.834858061953498,0.53
"9","Model",1,0.0330989833148883,0.0266872303569512,0.877406932342654,0.47
"10","Model",1,0.0371268049698658,0.0299348045594722,0.987473574359195,0.372
"11","Model",1,0.0379109840489009,0.026352067398641,0.595436464617305,0.624
"12","Model",1,0.0405645668327084,0.0327066221066521,1.08200048850977,0.34
"13","Model",1,0.0442513754185511,0.0356792424157512,1.18397923960927,0.284
"14","Model",1,0.0497961149146165,0.0401498854803139,1.3385385029755,0.218
"15","Model",1,0.0525182255339187,0.0423446838057883,1.41494529281183,0.186
"16","Model",1,0.0668829717329358,0.0120755866634299,0.635605819657406,0.715
"17","Model",1,0.0744124169116549,0.0110126991772598,0.71266106931635,0.585
"18","Model",1,0.0778388170891639,0.00873631724076643,0.660998485522675,0.768
"19","Model",1,0.0810747243627687,0.011817376598593,0.777315306622756,0.478
"20","Model",1,0.0905755151183402,0.0257109662917443,1.31947324675745,0.217
"21","Model",1,0.112855362854364,0.031603362868181,1.59910177417322,0.166
"22","Model",1,0.115304544951278,0.0322892176524054,1.63496335251079,0.128
"23","Model",1,0.118824499001014,0.0583438681153574,1.9207222789026,0.084
"24","Model",1,0.13108147139529,0.0190598985198524,1.14638397489763,0.283
"25","Model",1,0.142583779766009,0.0160030326770837,1.21974710353695,0.259
"26","Model",1,0.172464789344534,0.0232847591949964,1.52575134104751,0.181
"27","Model",1,0.180630680996021,0.0202732645691324,1.55195809984326,0.135
"28","Model",1,0.185660837482378,0.02083782919741,1.59609637341763,0.119
"29","Model",1,0.242001968935669,0.0271613322577899,2.09397507200448,0.041
"30","Model",1,0.274423721707687,0.0401655027856237,2.34339166025261,0.044
